Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2021-12-04 01:33:57;"Workout #1";"Cycling (Indoor)";1;;;;;8;;0;"";"First workout given by PT (with extras)";32s
2021-12-09 18:41:53;"Workout #1";"Cycling (Indoor)";1;;;;;0;km;1200;"";"First workout given by PT (with extras)";57m
2021-12-09 18:41:53;"Workout #1";"Chest Press (Machine)";1;35;kg;12;;;;0;"";;57m
2021-12-09 18:41:53;"Workout #1";"Chest Press (Machine)";2;37.5;kg;10;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Chest Press (Machine)";3;40;kg;8;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Chest Press (Machine)";4;40;kg;8;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Seated Row (Machine)";1;45;kg;10;;;;0;"";;57m
2021-12-09 18:41:53;"Workout #1";"Seated Row (Machine)";2;50;kg;10;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Seated Row (Machine)";3;50;kg;8;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Seated Row (Machine)";4;50;kg;8;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Pec Deck (Machine)";1;25;kg;10;;;;0;"";;57m
2021-12-09 18:41:53;"Workout #1";"Pec Deck (Machine)";2;30;kg;10;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Pec Deck (Machine)";3;32.5;kg;8;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Pec Deck (Machine)";4;32.5;kg;8;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Pullover (Machine)";1;50;kg;10;;;;0;"";;57m
2021-12-09 18:41:53;"Workout #1";"Pullover (Machine)";2;55;kg;10;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Pullover (Machine)";3;57.5;kg;8;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Pullover (Machine)";4;57.5;kg;8;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Seated Leg Press (Machine)";1;40;kg;10;;;;0;"";;57m
2021-12-09 18:41:53;"Workout #1";"Seated Leg Press (Machine)";2;50;kg;10;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Seated Leg Press (Machine)";3;50;kg;10;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Seated Leg Curl (Machine)";1;40;kg;12;;;;0;"";;57m
2021-12-09 18:41:53;"Workout #1";"Seated Leg Curl (Machine)";2;45;kg;10;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Seated Leg Curl (Machine)";3;45;kg;10;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Seated Leg Curl (Machine)";4;45;kg;8;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Shoulder Press (Machine)";1;22.5;kg;10;;;;0;"";;57m
2021-12-09 18:41:53;"Workout #1";"Shoulder Press (Machine)";2;25;kg;10;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Shoulder Press (Machine)";3;27.5;kg;8;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Shoulder Press (Machine)";4;27.5;kg;8;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Plank";1;;;;;;km;30;"";;57m
2021-12-09 18:41:53;"Workout #1";"Plank";2;;;;;;km;30;;;57m
2021-12-09 18:41:53;"Workout #1";"Plank";3;;;;;;km;30;;;57m
2021-12-09 18:41:53;"Workout #1";"Bicep Curl (Dumbbell)";1;10;kg;16;;;;0;"";;57m
2021-12-09 18:41:53;"Workout #1";"Bicep Curl (Dumbbell)";2;10;kg;16;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Bicep Curl (Dumbbell)";3;10;kg;16;;;;0;;;57m
2021-12-09 18:41:53;"Workout #1";"Bicep Curl (Dumbbell)";4;10;kg;16;;;;0;;;57m
2021-12-29 13:01:56;"Workout #1";"Cycling (Indoor)";1;;;;;0;km;1200;"";"First workout given by PT (with extras)";44m
2021-12-29 13:01:56;"Workout #1";"Chest Press (Machine)";1;40;kg;12;;;;0;"";;44m
2021-12-29 13:01:56;"Workout #1";"Chest Press (Machine)";2;42.5;kg;10;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Chest Press (Machine)";3;45;kg;10;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Seated Row (Machine)";1;45;kg;12;;;;0;"";;44m
2021-12-29 13:01:56;"Workout #1";"Seated Row (Machine)";2;50;kg;10;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Seated Row (Machine)";3;50;kg;8;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Pec Deck (Machine)";1;30;kg;10;;;;0;"";;44m
2021-12-29 13:01:56;"Workout #1";"Pec Deck (Machine)";2;32.5;kg;10;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Pec Deck (Machine)";3;35;kg;8;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Pullover (Machine)";1;52.5;kg;12;;;;0;"";;44m
2021-12-29 13:01:56;"Workout #1";"Pullover (Machine)";2;55;kg;10;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Pullover (Machine)";3;57.5;kg;8;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Seated Leg Press (Machine)";1;50;kg;12;;;;0;"";;44m
2021-12-29 13:01:56;"Workout #1";"Seated Leg Press (Machine)";2;50;kg;10;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Seated Leg Press (Machine)";3;60;kg;10;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Seated Leg Curl (Machine)";1;42.5;kg;10;;;;0;"";;44m
2021-12-29 13:01:56;"Workout #1";"Seated Leg Curl (Machine)";2;45;kg;10;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Seated Leg Curl (Machine)";3;45;kg;6;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Shoulder Press (Machine)";1;25;kg;10;;;;0;"";;44m
2021-12-29 13:01:56;"Workout #1";"Shoulder Press (Machine)";2;27.5;kg;8;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Shoulder Press (Machine)";3;27.5;kg;7;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Plank";1;;;;;;km;30;"";;44m
2021-12-29 13:01:56;"Workout #1";"Plank";2;;;;;;km;30;;;44m
2021-12-29 13:01:56;"Workout #1";"Plank";3;;;;;;km;30;;;44m
2021-12-29 13:01:56;"Workout #1";"Bicep Curl (Dumbbell)";1;10;kg;20;;;;0;"";;44m
2021-12-29 13:01:56;"Workout #1";"Bicep Curl (Dumbbell)";2;10;kg;20;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Bicep Curl (Dumbbell)";3;10;kg;8;;;;0;;;44m
2022-01-17 18:37:06;"Workout #1";"Cycling (Indoor)";1;;;;;0;km;1800;"";"First workout given by PT (with extras)";49m
2022-01-17 18:37:06;"Workout #1";"Chest Press (Machine)";1;40;kg;12;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Chest Press (Machine)";2;42.5;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Chest Press (Machine)";3;45;kg;8;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Seated Row (Machine)";1;45;kg;12;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Seated Row (Machine)";2;50;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Seated Row (Machine)";3;50;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Pec Deck (Machine)";1;30;kg;15;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Pec Deck (Machine)";2;32.5;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Pec Deck (Machine)";3;35;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Pullover (Machine)";1;52.5;kg;12;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Pullover (Machine)";2;55;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Pullover (Machine)";3;57.5;kg;8;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Seated Leg Press (Machine)";1;50;kg;12;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Seated Leg Press (Machine)";2;50;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Seated Leg Press (Machine)";3;50;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Seated Leg Curl (Machine)";1;42.5;kg;10;;;;0;"";;49m
