"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2021-12-04 01:33:57";"Workout #1";"32";"Cycling (Indoor)";"1";"";"";"";"8000.0";"0.0";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Cycling (Indoor)";"1";"";"";"";"0.0";"1200.0";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Chest Press (Machine)";"1";"35.0";"12";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Chest Press (Machine)";"2";"37.5";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Chest Press (Machine)";"3";"40.0";"8";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Chest Press (Machine)";"4";"40.0";"8";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Seated Row (Machine)";"1";"45.0";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Seated Row (Machine)";"2";"50.0";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Seated Row (Machine)";"3";"50.0";"8";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Seated Row (Machine)";"4";"50.0";"8";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Pec Deck (Machine)";"1";"25.0";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Pec Deck (Machine)";"2";"30.0";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Pec Deck (Machine)";"3";"32.5";"8";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Pec Deck (Machine)";"4";"32.5";"8";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Pullover (Machine)";"1";"50.0";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Pullover (Machine)";"2";"55.0";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Pullover (Machine)";"3";"57.5";"8";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Pullover (Machine)";"4";"57.5";"8";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Seated Leg Press (Machine)";"1";"40.0";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Seated Leg Press (Machine)";"2";"50.0";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Seated Leg Press (Machine)";"3";"50.0";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Seated Leg Curl (Machine)";"1";"40.0";"12";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Seated Leg Curl (Machine)";"2";"45.0";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Seated Leg Curl (Machine)";"3";"45.0";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Seated Leg Curl (Machine)";"4";"45.0";"8";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Shoulder Press (Machine)";"1";"22.5";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Shoulder Press (Machine)";"2";"25.0";"10";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Shoulder Press (Machine)";"3";"27.5";"8";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Shoulder Press (Machine)";"4";"27.5";"8";"";"";"";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Plank";"1";"";"";"";"";"30.0";"";"First workout given by PT (with extras)"
"2";"2021-12-09 18:41:53";"Workout #1";"3459";"Plank";"2";"";"";"";"";"30.0";"";"First workout given by PT (with extras)"
